mes,anio,date,fenomeno,fenomeno_ord
diciembre,2004,2004-01-01,nino,1
diciembre,2005,2005-01-01,neutral,0
diciembre,2006,2006-01-01,nino,1
diciembre,2007,2007-01-01,nina,-1
diciembre,2008,2008-01-01,nina,-1
diciembre,2009,2009-01-01,nino,1
diciembre,2010,2010-01-01,nina,-1
diciembre,2011,2011-01-01,nina,-1
diciembre,2012,2012-01-01,neutral,0
diciembre,2013,2013-01-01,neutral,0
diciembre,2014,2014-01-01,nino,1
diciembre,2015,2015-01-01,nino,1
diciembre,2016,2016-01-01,nina,-1
diciembre,2017,2017-01-01,nina,-1
diciembre,2018,2018-01-01,nino,1
diciembre,2019,2019-01-01,neutral,0
diciembre,2020,2020-01-01,nina,-1
noviembre,2021,2021-01-01,nina,-1
